model,structure,level,y,x,cls,n_true_cols,frac_damaged,pred_val,tgt_val
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,379.0,258.0,boundary_edge,100,0.8208365164247517,0.5023812651634216,0.4588235318660736
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,171.0,257.0,boundary_edge,100,0.8208365164247517,0.5020426511764526,0.529411792755127
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,137.0,80.0,boundary_edge,100,0.8208365164247517,0.4888392686843872,0.47843137383461
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,378.0,140.0,boundary_edge,100,0.8208365164247517,0.5027321577072144,0.5215686559677124
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,413.0,80.0,boundary_edge,100,0.8208365164247517,0.48505523800849915,0.4941176474094391
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,103.0,139.0,invented_damaged,100,0.8208365164247517,0.49881231784820557,0.5372549295425415
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,206.0,79.0,invented_damaged,100,0.8208365164247517,0.5014719367027283,0.5411764979362488
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,481.0,79.0,boundary_edge,100,0.8208365164247517,0.5000576972961426,0.5215686559677124
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,309.0,139.0,boundary_edge,100,0.8208365164247517,0.5051314830780029,0.47058823704719543
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,516.0,139.0,boundary_edge,100,0.8208365164247517,0.50590980052948,0.49803921580314636
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,378.0,377.0,boundary_edge,100,0.8208365164247517,0.5053508877754211,0.5176470875740051
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,446.0,139.0,invented_damaged,100,0.8208365164247517,0.49653005599975586,0.49803921580314636
gatedv2_t0.7_d2_s0,vo2_Vacancy-Anion-03.png,1,104.0,377.0,boundary_edge,100,0.8208365164247517,0.4993215799331665,0.48627451062202454
